Model,Brand,Price_USD,Release_Year,Camera_MP,Battery_mAh,RAM_GB,Storage_GB,Chipset,Performance_Level,5G,Display_Size_inch,Display_Type,Weight_g
X 81,Nokia,565,2020,12,5137,8,512,Snapdragon 8 Gen 1,Flagship,Yes,6.59,IPS LCD,217
Find 51,Oppo,1160,2022,64,4402,16,64,Apple A16 Bionic,Flagship,Yes,6.8,IPS LCD,166
iPhone 56,Apple,224,2022,200,5561,4,128,Dimensity 900,Mid-range,No,6.39,IPS LCD,156
iPhone 1,Apple,556,2022,48,5519,6,64,Apple A15 Bionic,High-end,Yes,6.47,IPS LCD,231
Reno 82,Oppo,580,2019,12,4918,12,256,Snapdragon 695,Mid-range,Yes,6.02,IPS LCD,195
G 55,Nokia,918,2020,200,4336,12,512,Snapdragon 8 Gen 2,Flagship,Yes,5.59,AMOLED,233
Galaxy S 33,Samsung,179,2019,48,4113,4,256,Helio G88,Budget,Yes,6.01,IPS LCD,194
C 28,Realme,551,2019,12,4893,12,256,Helio G88,Budget,Yes,5.6,IPS LCD,179
C 33,Realme,260,2019,108,4779,6,256,Helio G99,Budget,Yes,5.62,AMOLED,186
Nova 52,Huawei,622,2024,64,4506,12,128,Dimensity 1080,Mid-range,Yes,6.79,IPS LCD,231
iPhone 31,Apple,648,2022,200,3805,12,64,Snapdragon 8 Gen 1,Flagship,Yes,6.68,AMOLED,200
Edge 63,Motorola,544,2024,48,5229,8,64,Helio G99,Budget,Yes,5.85,IPS LCD,181
GT 25,Realme,330,2023,50,5507,4,256,Apple A15 Bionic,High-end,Yes,6.58,AMOLED,163
Redmi Note 13,Xiaomi,414,2024,48,4591,8,256,Dimensity 900,Mid-range,Yes,5.98,AMOLED,170
Galaxy S 40,Samsung,434,2022,64,4405,4,256,Snapdragon 8 Gen 2,Flagship,Yes,5.65,IPS LCD,172
G 17,Nokia,652,2024,64,3991,6,256,Dimensity 1080,Mid-range,Yes,6.83,IPS LCD,223
Find 36,Oppo,615,2019,64,4809,6,64,Snapdragon 8 Gen 2,Flagship,Yes,5.92,AMOLED,210
Mi 84,Xiaomi,1062,2022,108,4533,6,512,Snapdragon 8 Gen 1,Flagship,Yes,6.4,IPS LCD,183
Nord 74,OnePlus,413,2021,108,4802,6,64,Snapdragon 8 Gen 2,Flagship,Yes,5.82,AMOLED,226
Nova 41,Huawei,1169,2021,200,3923,6,128,Snapdragon 695,Mid-range,Yes,6.69,OLED,191
